date,precio,vol_30d,cum_ret_30d,dist_sma50,drawdown,cluster_km,estado_hmm,estado_hmm_causal
2018-03-22,539.7020263671875,4.048574085653608,-47.76440646414647,-32.01391871875593,-47.94490629412258,0,1,1
2018-03-23,539.6190185546875,4.003760779755237,-42.70926685912065,-31.162133199916465,-47.952912525796556,0,1,1
2018-03-24,526.4390258789062,3.9702278499647146,-40.78381134308335,-32.16967435520043,-49.2241431683767,0,1,1
2018-03-25,524.2869873046875,3.7027154634798642,-47.50918939127748,-31.672696639241693,-49.43171061145946,0,1,1
2018-03-26,489.9509887695313,3.8075647256184766,-51.318825767716305,-35.568569866989684,-52.743470682592466,0,1,1
2018-03-27,450.1159973144531,3.957610382318721,-59.96022327955201,-40.41873338405393,-56.58561711091834,0,1,1
2018-03-28,446.2789916992188,3.8553975702959233,-63.713324260957556,-40.37918064359114,-56.955702226580115,0,1,1
2018-03-29,385.9679870605469,4.330350192538704,-78.25706499980625,-47.920057191699506,-62.77279174001787,0,1,1
2018-03-30,394.6449890136719,4.420177499480397,-73.38263168886239,-46.13410645490686,-61.93588150494549,0,1,1
2018-03-31,396.4570007324219,4.3758853160262845,-74.91144469209304,-45.15707087094888,-61.761110177050746,0,1,1
2018-04-01,379.6069946289063,4.38502748744107,-77.40202015675848,-46.78002891427314,-63.386319280983884,0,1,1
2018-04-02,386.4249877929688,4.432602727955238,-75.6493625329103,-45.16574063943136,-62.728713313798124,0,1,1
2018-04-03,416.89300537109375,4.782912887479305,-68.8675193916239,-40.073875993055374,-59.790025977867,0,1,1
2018-04-04,380.5429992675781,4.921113533812735,-76.08750121742648,-44.558289243923355,-63.29604018845727,0,1,1
2018-04-05,383.2319946289063,4.944038920262979,-71.07799668968899,-43.273410789511956,-63.036682434233505,0,1,1
2018-04-06,370.2850036621094,4.839457521446747,-66.60767025188456,-44.25463242595503,-64.28543970224354,0,1,1
2018-04-07,385.3139953613281,4.904027098147656,-56.14176039652794,-40.99919163834193,-62.83587024912567,0,1,1
2018-04-08,400.5079956054688,4.923213112229339,-55.650107195251564,-37.57604969984215,-61.37038546708826,0,1,1
2018-04-09,398.5260009765625,4.872634346457464,-50.37942961753432,-36.850719882402075,-61.56155190910949,0,1,1
2018-04-10,414.2430114746094,4.8112364044348315,-51.74202127794727,-33.23971141818447,-60.045621980591015,0,1,1
2018-04-11,430.5400085449219,4.910468790326589,-44.55792995006195,-29.557843782666314,-58.47375145171818,0,1,1
2018-04-12,492.9410095214844,5.7122203750864085,-28.777679212752638,-18.394805535451354,-52.455078564680456,0,1,0
